Sample_id;used in wihtin lakes analysis;Library;ng DNA;Lake basin;Site;Transect;Depth;"Length 
(mm)";"Height
 (mm)";"Width 
(mm)";Phenotype; Reads ;"Mapped 
(%)"; Retained reads after mapping 
BO-5304;;13B;200;Obersee;Altenrhein;1;60;10.63;5.62;3.41;d; 3’470’856.00 ;96.72; 3’357’012 
BO-5311;;10B;200;Obersee;Altenrhein;1;60;12.95;6.59;3.77;d; 3’568’343.00 ;96.84; 3’455’583 
BO-5312;;11A;200;Obersee;Altenrhein;1;60;12.25;6.66;3.2;d; 4’507’518.00 ;96.76; 4’361’474 
BO-5301;;11B;200;Obersee;Altenrhein;1;60;13.95;7.62;4.72;d; 5’107’918.00 ;96.63; 4’935’781 
BO-5283;;13B;200;Obersee;Altenrhein;2;60;14.64;8.85;4.68;d; 843’857.00 ;97.05; 818’963 
BO-5287;;13A;200;Obersee;Altenrhein;2;60;11.59;6.95;3.51;d; 1’125’447.00 ;96.65; 1’087’745 
BO-5286;;15B;200;Obersee;Altenrhein;2;60;12.22;6.6;3.23;d; 1’267’931.00 ;96.83; 1’227’738 
BO-5288;;13B;200;Obersee;Altenrhein;2;60;10.15;5.4;2.88;d; 1’597’402.00 ;96.87; 1’547’403 
BO-5285;;14B;200;Obersee;Altenrhein;2;60;10.4;5.2;2.79;d; 1’823’999.00 ;96.76; 1’764’901 
BO-5290;;15A;200;Obersee;Altenrhein;2;60;10.9;5.75;2.61;d; 2’164’332.00 ;96.84; 2’095’939 
BO-5289;;14B;200.18;Obersee;Altenrhein;2;60;13.54;7.91;3.83;d; 3’746’685.00 ;96.63; 3’620’422 
BO-5294;;14A;200;Obersee;Altenrhein;1;80;13.44;7.34;4.47;d; 1’003’001.00 ;96.71; 970’002 
BO-5296;;11B;200;Obersee;Altenrhein;1;80;9.51;4.89;2.83;d; 1’923’532.00 ;96.8; 1’861’979 
BO-5297;;12B;200;Obersee;Altenrhein;1;80;10.69;5.87;3.17;d; 3’399’606.00 ;96.95; 3’295’918 
BO-5295;;14B;200;Obersee;Altenrhein;1;80;13.02;6.83;3.37;d; 3’678’472.00 ;96.69; 3’556’715 
BO-5292;;15B;200;Obersee;Altenrhein;2;80;11.13;6.18;3.46;d; 1’415’679.00 ;96.85; 1’371’085 
BO-5293;;16B;200;Obersee;Altenrhein;2;80;12.4;7.18;3.72;d; 2’023’062.00 ;96.79; 1’958’122 
UN-3012;;13B;200;Untersee;Berlingen;1;1;15.18;9.56;6.87;s; 3’290’031.00 ;96.56; 3’176’853.93 
UN-3006;;14A;195.2;Untersee;Berlingen;2;1;13.81;8.63;5.63;s; 1’570’962.00 ;96.85; 1’521’476.70 
UN-3013;;low;100;Untersee;Berlingen;2;1;15.47;8.21;7.16;s; 1’658’670.00 ;96.79; 1’605’426.69 
UN-3024;;13B;200;Untersee;Berlingen;2;1;12.16;8.25;5.37;s; 1’816’416.00 ;96.63; 1’755’202.78 
UN-3008;;11B;200;Untersee;Berlingen;2;1;12.63;7.98;5.45;s; 1’989’816.00 ;96.74; 1’924’948.00 
UN-3005;;13A;200;Untersee;Berlingen;2;1;13.48;8.79;5.25;s; 2’518’116.00 ;96.88; 2’439’550.78 
UN-3007;;low;100;Untersee;Berlingen;2;1;12.98;8.31;5.77;s; 3’155’474.00 ;96.68; 3’050’712.26 
UN-3004;;low;87.51;Untersee;Berlingen;2;1;16.74;9.56;7.03;s; 4’186’925.00 ;96.51; 4’040’801.32 
UN-3009;;12A;200;Untersee;Berlingen;2;1;12.08;7.37;4.5;s; 5’534’459.00 ;96.79; 5’356’802.87 
UN-3056;;17A;200;Untersee;Berlingen;1;10;15.18;8.23;5.19;s; 855’515.00 ;96.94; 829’336.24 
UN-3060;;low;100;Untersee;Berlingen;1;10;13.95;7.16;4.66;s; 1’056’504.00 ;96.76; 1’022’273.27 
UN-3066;;17B;200;Untersee;Berlingen;1;10;16.47;8.63;5.58;s; 2’095’291.00 ;96.84; 2’029’079.80 
UN-3068;;11A;200;Untersee;Berlingen;1;10;15.09;7.68;5.54;s; 2’340’210.00 ;96.47; 2’257’600.59 
UN-3059;;11A;200;Untersee;Berlingen;1;10;14.99;7.56;4.95;s; 2’586’550.00 ;96.82; 2’504’297.71 
UN-3064;;16A;200;Untersee;Berlingen;1;10;15.25;7.12;4.51;s; 2’932’822.00 ;96.56; 2’831’932.92 
UN-3065;;17A;200;Untersee;Berlingen;1;10;13.88;7.84;5.84;s; 3’057’045.00 ;96.75; 2’957’691.04 
UN-3063;;15B;200;Untersee;Berlingen;1;10;13;6.89;3.96;s; 3’112’488.00 ;96.69; 3’009’464.65 
UN-3054;;16A;200;Untersee;Berlingen;1;10;14.25;7.53;4.78;s; 3’803’995.00 ;96.79; 3’681’886.76 
UN-3055;;16B;200;Untersee;Berlingen;1;10;14.32;8;5.73;s; 3’838’102.00 ;96.61; 3’707’990.34 
UN-3061;;14A;200;Untersee;Berlingen;1;10;14.83;7.72;4.73;s; 3’938’785.00 ;96.73; 3’809’986.73 
UN-3057;;10A;200;Untersee;Berlingen;1;10;14.51;7.54;5.17;s; 5’908’086.00 ;96.76; 5’716’664.01 
UN-3062;;low;100;Untersee;Berlingen;1;10;14.65;7.36;4.91;s; 5’938’006.00 ;96.59; 5’735’520.00 
UN-3067;;low;100;Untersee;Berlingen;1;10;16.39;8.37;5.01;s; 8’241’252.00 ;96.69; 7’968’466.56 
UN-3032;;10B;32.55;Untersee;Berlingen;2;10;14.09;7.25;4.5;s; 542’327.00 ;96.78; 524’864.07 
UN-3029;;16B;200;Untersee;Berlingen;2;10;16.86;8.68;5.63;s; 1’357’526.00 ;96.53; 1’310’419.85 
UN-3031;;10A;200;Untersee;Berlingen;2;10;16.24;9.32;6.56;s; 1’370’359.00 ;96.99; 1’329’111.19 
UN-3039;;17A;200;Untersee;Berlingen;2;10;14.89;7.95;5.32;s; 2’078’761.00 ;96.85; 2’013’280.03 
