Sample_id;used in wihtin lakes analysis;Library;ng DNA;Lake basin;Site;Transect;Depth;"Length 
(mm)";"Height
 (mm)";"Width 
(mm)";Phenotype; Reads ;"Mapped 
(%)"; Retained reads after mapping 
NE-0081;;12B;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 2’803’484 ;96.87; 2’715’735 
NE-0083;;14A;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 4’387’623 ;96.67; 4’241’515 
NE-0084;;15A;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 3’348’242 ;96.74; 3’239’089 
NE-0085;;15B;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 2’303’220 ;96.52; 2’223’068 
NE-0086;;16A;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 1’592’705 ;96.74; 1’540’783 
NE-0087;;17A;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 1’803’637 ;96.93; 1’748’265 
NE-0088;;17B;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 1’140’640 ;96.71; 1’103’113 
NE-0089;;10A;197.59;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 1’864’596 ;96.92; 1’807’166 
NE-0090;;11A;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 2’697’136 ;96.71; 2’608’400 
RI-2005;;12A;200;Rhein;Wallbach;1;1;18.41;12.16;10.13;NA; 4’952’662 ;96.74; 4’791’205 
RI-2006;;12B;200;Rhein;Wallbach;1;1;18.74;11.35;8.29;NA; 2’812’567 ;96.72; 2’720’315 
RI-2007;;13A;200;Rhein;Wallbach;1;1;23.04;13.32;10.05;NA; 1’616’488 ;97.07; 1’569’125 
RI-2008;;14A;200;Rhein;Wallbach;1;1;25.4;13.74;14.11;NA; 5’802’229 ;96.72; 5’611’916 
RI-2009;;14B;200;Rhein;Wallbach;1;1;21.68;13.82;10.91;NA; 4’242’962 ;96.26; 4’084’275 
RI-2010;;15A;200;Rhein;Wallbach;1;1;23.51;14.21;9.51;NA; 3’638’899 ;96.61; 3’515’540 
RI-2012;;17A;200;Rhein;Wallbach;1;1;22.95;11.97;10.68;NA; 3’363’747 ;97.12; 3’266’871 
RI-2013;;17B;205.69;Rhein;Wallbach;1;1;27.51;14.47;11.96;NA; 2’074’871 ;96.48; 2’001’836 
RI-2014;;low;100;Rhein;Wallbach;1;1;30.4;16.8;15.99;NA; 4’317’855 ;96.71; 4’175’798 
RI-2015;;11A;200;Rhein;Wallbach;1;1;22.94;13.51;12.65;NA; 3’639’907 ;96.62; 3’516’878 
RI-2016;;11B;200;Rhein;Wallbach;1;1;23.15;14.1;11.35;NA; 4’126’433 ;96.67; 3’989’023 
RI-2017;;12A;200;Rhein;Wallbach;1;1;26.9;16.45;12.39;NA; 4’050’301 ;96.84; 3’922’311 
RI-2018;;13A;200;Rhein;Wallbach;1;1;17.66;10.99;8.73;NA; 5’987’969 ;96.76; 5’793’959 
UN-3117;x;13A;200;Untersee;Radolfszell;1;1;14.58;9.2;5.83;s; 2’241’866 ;96.82; 2’170’575 
UN-3118;x;14A;200;Untersee;Radolfszell;1;1;13.65;9.39;6.17;s; 2’399’295 ;96.76; 2’321’558 
UN-3119;x;14B;200;Untersee;Radolfszell;1;1;14.77;9.28;7.57;s; 2’645’815 ;96.52; 2’553’741 
UN-3122;x;16B;200;Untersee;Radolfszell;1;1;12.66;7.71;5.01;s; 4’520’158 ;96.63; 4’367’829 
UN-3123;x;17A;200;Untersee;Radolfszell;1;1;12.93;8.9;6.24;s; 1’221’844 ;96.88; 1’183’722 
UN-3124;x;10A;200;Untersee;Radolfszell;1;1;12.25;8.14;5.26;d; 1’543’773 ;96.96; 1’496’842 
UN-3125;x;11A;200;Untersee;Radolfszell;1;1;13.47;7.34;5.1;s; 3’898’699 ;96.61; 3’766’533 
UN-3126;x;11B;200;Untersee;Radolfszell;1;1;13.96;8.18;5.69;s; 2’294’383 ;96.55; 2’215’227 
UN-3127;x;12A;192.01;Untersee;Radolfszell;1;1;13.42;8.82;6.86;s; 1’807’678 ;96.89; 1’751’459 
UN-3128;x;13A;200;Untersee;Radolfszell;1;1;13.3;8.95;6.15;s; 3’534’433 ;96.86; 3’423’452 
UN-3129;x;13B;200;Untersee;Radolfszell;1;1;12.91;8.44;5.19;s; 2’554’583 ;96.83; 2’473’603 
UN-3130;x;14A;200;Untersee;Radolfszell;1;1;12.98;7.8;5.6;s; 3’880’272 ;96.7; 3’752’223 
UN-3131;x;15A;200;Untersee;Radolfszell;1;1;13.21;7.91;6.44;s; 2’452’511 ;96.46; 2’365’692 
UN-3152;x;low;100;Untersee;Reichenau;1;1;13.37;8.16;5.97;s; 7’062’821 ;96.49; 6’814’916 
UN-3158;x;low;100;Untersee;Reichenau;1;1;16.88;10.47;7.6;s; 1’579’449 ;95.94; 1’515’323 
UN-3159;x;16B;200;Untersee;Reichenau;1;1;14.83;9.31;6.68;s; 1’625’494 ;96.54; 1’569’252 
